TS|CH0|CH1|CH2
10|3.906|0.000|1.866
20|3.886|0.000|1.856
30|3.886|0.000|1.837
40|3.888|0.000|1.754
50|3.907|0.000|1.876
60|3.872|0.000|1.808
70|3.908|0.000|1.808
80|3.886|0.000|1.861
90|3.906|0.000|1.637
100|3.906|0.000|1.793
110|3.882|0.000|1.808
120|3.886|0.000|1.817
130|3.902|0.000|1.866
140|3.886|0.000|-3.903
150|3.906|0.000|-3.923
160|3.872|0.000|-3.933
170|3.893|0.000|-3.864
180|3.880|0.000|-3.903
190|3.897|0.000|-3.898
200|3.906|0.000|-3.942
210|3.886|0.000|-3.918
220|3.897|0.000|-3.942
230|3.875|0.000|-3.942
240|3.877|0.000|-3.923
250|3.905|0.000|-3.898
260|3.883|0.000|-3.923
270|3.888|0.000|-3.942
280|3.875|0.000|-3.933
290|3.875|0.000|-3.898
300|3.897|0.000|-3.903
310|3.907|0.000|-3.850
320|3.893|0.000|-3.923
330|3.867|0.000|-3.913
340|3.886|0.000|-3.923
350|3.888|0.000|-3.864
360|3.896|0.000|-3.864
370|3.902|0.000|-3.869
380|3.893|0.000|-3.918
390|3.867|0.000|-3.869
400|3.867|0.000|-3.898
410|3.907|0.000|-3.908
420|3.867|0.000|-3.898
430|3.896|0.000|-4.016
440|3.894|0.000|-3.879
450|3.896|0.000|-3.903
460|3.867|0.000|-3.859
470|3.893|0.000|-3.879
480|3.886|0.000|-3.859
490|3.882|0.000|-3.903
500|3.867|0.000|-3.933
510|3.891|0.000|-3.908
520|3.884|0.000|-3.898
530|3.877|0.000|-3.879
540|3.882|0.000|-3.913
550|3.893|0.000|-3.898
560|3.894|0.000|-3.859
570|3.888|0.000|-3.879
580|3.886|0.000|-3.850
590|3.867|0.000|-3.859
600|3.902|0.000|-3.937
610|3.877|0.000|-3.874
620|3.897|0.000|-3.952
630|3.896|0.000|-3.898
640|3.867|0.000|-3.933
650|3.879|0.000|-3.903
660|3.877|0.000|-3.859
670|3.907|0.000|-3.942
