TS|CH0|CH1|CH2
3960|4.687|1.259|-0.997
3970|4.687|1.212|-0.518
3980|4.792|1.319|0.044
3990|4.687|1.259|-0.518
4000|4.960|1.328|-2.496
4010|4.589|1.054|0.078
4020|4.685|1.319|-1.021
4030|4.792|1.220|-1.065
4040|4.949|1.244|-2.501
4050|4.951|1.084|-0.752
4060|4.590|1.215|0.122
4070|4.687|1.368|-0.977
4080|4.949|1.093|-0.440
4090|4.585|1.212|0.010
4100|4.805|1.415|-0.518
4110|4.897|1.328|0.078
4120|4.584|1.328|-1.065
4130|4.795|1.232|-1.055
4140|4.951|1.405|0.332
4150|4.844|1.414|-0.440
4160|4.844|1.211|-0.518
4170|4.974|1.215|0.166
4180|4.897|1.231|-0.596
4190|4.949|1.015|-0.508
4200|4.802|1.212|-1.065
4210|4.838|0.956|0.078
4220|4.951|1.092|-0.528
4230|4.919|1.015|-0.528
4240|4.687|1.181|-1.065
4250|4.609|1.414|-0.977
4260|4.949|1.015|-1.422
4270|4.902|1.181|-0.537
4280|4.792|1.073|0.020
4290|4.590|1.231|0.039
4300|4.685|1.215|-0.977
4310|4.902|1.319|0.078
4320|4.681|1.407|0.039
4330|4.951|1.409|0.010
4340|4.896|1.212|-0.997
4350|4.687|1.181|0.010
4360|4.372|1.176|0.005
4370|4.838|1.348|0.083
4380|4.897|1.054|0.039
4390|4.950|1.211|-0.440
4400|4.955|1.368|-0.440
4410|4.844|1.211|0.083
4420|4.609|1.176|-2.579
4430|4.951|0.956|0.039
4440|4.949|1.328|-1.353
4450|4.844|1.092|0.088
4460|4.792|1.212|-1.431
4470|4.685|1.176|-0.440
4480|4.792|1.328|-1.412
4490|4.974|1.309|7.670
4500|4.805|1.092|8.232
4510|4.988|1.231|7.084
4520|4.902|1.212|6.668
4530|4.919|1.215|7.084
4540|4.949|1.021|6.986
4550|4.685|1.232|4.792
4560|4.951|1.172|7.084
4570|4.792|1.093|7.709
4580|4.805|1.368|7.914
4590|4.949|1.719|8.779
4600|4.960|1.328|6.873
4610|4.838|1.328|7.709
4620|4.949|1.328|4.998
4630|4.687|1.212|7.709
4640|4.900|1.056|4.998
4650|4.838|1.092|8.334
4660|4.795|1.220|7.084
4670|4.950|1.368|6.458
4680|4.585|1.181|6.668
4690|4.976|1.215|7.709
4700|4.897|1.054|7.528
4710|4.584|1.328|7.084
4720|4.805|1.093|8.334
4730|4.910|1.131|4.958
4740|4.685|1.250|4.998
4750|4.949|1.181|7.528
4760|4.842|1.328|6.668
4770|4.950|1.215|7.533
4780|4.609|1.093|7.709
4790|4.974|1.176|8.334
4800|4.900|1.181|7.606
4810|4.988|1.015|6.981
4820|4.902|1.181|7.084
4830|4.609|1.328|7.709
4840|4.585|1.181|7.396
4850|4.803|1.368|7.294
4860|4.949|1.212|7.084
4870|4.988|1.319|7.084
4880|4.974|1.212|4.998
4890|4.687|1.211|7.709
4900|4.951|1.368|6.668
4910|4.609|1.328|7.665
4920|4.973|1.215|7.084
4930|4.950|1.231|7.841
4940|4.805|1.250|8.334
4950|4.795|1.328|6.668
4960|4.976|1.212|7.709
4970|4.897|1.231|8.285
4980|4.687|1.328|5.838
4990|4.902|1.328|7.606
5000|4.839|1.015|6.458
5010|4.949|1.324|6.668
5020|4.685|1.368|6.668
5030|4.668|1.173|8.334
5040|4.795|1.176|7.709
5050|4.590|1.181|0.010
5060|4.687|1.330|-0.440
5070|4.949|1.181|-0.708
5080|4.590|1.368|-1.055
5090|4.910|1.093|-2.496
5100|4.900|1.093|-0.977
5110|4.844|1.093|-1.065
5120|4.897|1.093|0.010
5130|4.949|1.015|0.005
5140|4.792|1.328|0.078
5150|4.900|1.189|-0.528
5160|4.585|1.407|-1.148
5170|4.951|1.015|0.000
5180|4.844|0.976|-0.997
5190|4.609|1.319|0.088
5200|4.910|1.368|0.088
5210|4.687|1.211|0.313
5220|4.795|1.089|-0.997
5230|4.902|0.976|-0.977
5240|4.897|1.241|-0.518
5250|4.838|1.328|-0.440
5260|4.897|1.368|0.020
5270|4.976|1.368|0.039
5280|4.792|1.269|-0.606
5290|4.949|1.415|-1.339
5300|4.685|1.089|0.020
5310|4.900|1.232|0.010
5320|4.687|1.093|-0.528
5330|4.949|1.328|-1.197
5340|4.687|1.015|-0.528
5350|4.687|1.328|-0.992
5360|4.949|1.212|-1.412
5370|4.805|0.956|-0.596
5380|4.902|1.215|-0.528
5390|4.802|1.089|0.039
5400|4.976|1.092|-1.055
5410|4.792|1.215|-1.055
5420|4.842|1.328|0.039
5430|4.609|1.093|0.010
5440|4.974|1.215|-0.435
5450|4.949|1.220|-0.997
5460|4.609|1.215|-0.596
5470|4.950|1.092|0.039
5480|4.590|1.408|0.005
5490|4.832|1.173|-1.431
5500|4.678|1.215|-1.490
5510|4.683|1.328|-0.997
5520|4.590|1.089|-0.518
5530|4.950|1.015|-0.596
5540|4.949|1.212|-1.412
5550|4.949|1.220|-1.153
5560|4.988|1.232|-1.065
5570|4.949|1.015|-0.435
5580|4.949|1.220|-0.440
5590|4.795|1.093|-0.528
5600|4.805|1.089|-0.596
5610|4.988|1.215|7.294
5620|4.949|1.328|4.998
5630|4.974|1.211|4.998
5640|4.900|1.176|4.998
5650|4.976|1.215|8.329
5660|4.974|1.212|7.709
5670|4.949|1.212|6.668
5680|4.978|1.212|4.998
5690|4.585|1.407|7.040
5700|4.976|1.219|6.771
5710|4.897|1.407|7.147
5720|4.805|1.368|7.294
5730|4.994|1.328|5.857
5740|4.838|1.093|4.998
5750|4.792|1.176|7.294
5760|4.792|1.093|6.712
5770|4.974|1.407|6.771
5780|4.902|1.215|8.324
5790|4.976|1.212|8.334
5800|4.910|1.181|4.998
5810|4.900|1.212|8.324
5820|4.988|1.407|7.704
5830|4.681|1.215|7.513
5840|4.792|1.015|6.771
5850|4.976|1.220|7.709
5860|4.590|0.976|7.919
5870|4.590|1.179|6.668
5880|4.988|1.328|4.998
5890|4.949|1.368|6.712
5900|4.687|1.330|6.673
5910|4.590|1.252|8.168
5920|4.805|1.215|8.334
5930|4.900|1.054|8.334
5940|4.803|1.215|7.084
5950|4.585|1.220|6.668
5960|4.988|1.220|8.129
5970|4.902|1.220|8.324
5980|4.792|1.328|8.334
5990|4.609|1.407|7.162
6000|4.838|1.215|7.059
6010|4.608|1.232|7.709
6020|4.897|1.212|8.310
6030|4.668|1.328|8.334
6040|4.949|1.093|7.084
6050|4.668|1.093|4.841
6060|4.988|1.015|7.606
6070|4.949|1.000|7.919
6080|4.609|1.234|7.098
6090|4.902|1.387|4.998
6100|4.584|1.328|7.528
6110|4.795|1.368|8.285
6120|4.687|1.181|8.134
6130|4.897|1.015|6.693
6140|4.896|1.015|7.606
6150|4.955|1.098|4.993
6160|4.795|1.309|4.998
6170|4.990|1.015|-1.075
6180|4.990|1.093|-0.977
6190|4.795|1.328|0.005
6200|4.988|1.220|0.044
6210|4.950|1.212|-0.992
6220|4.590|1.368|0.083
6230|4.949|1.212|-0.440
6240|4.949|1.176|0.000
6250|4.897|1.258|0.010
6260|4.951|1.034|-0.518
6270|4.988|1.328|0.005
6280|4.896|1.015|-0.518
6290|4.685|1.092|-2.496
6300|4.805|1.085|0.078
6310|4.900|1.211|0.020
6320|4.687|1.328|-0.743
6330|4.844|1.212|0.039
6340|4.795|1.328|-1.109
6350|4.609|1.328|-1.954
6360|4.687|1.054|0.083
6370|4.988|1.092|0.005
6380|4.844|1.172|-0.997
6390|4.998|1.015|-0.997
6400|4.818|1.219|0.020
6410|4.897|1.212|-1.055
6420|4.792|1.024|-1.153
6430|4.795|1.172|-1.431
6440|4.988|1.015|-1.148
6450|4.949|1.232|-1.021
6460|4.897|1.328|0.156
6470|4.897|1.015|-0.528
6480|4.988|1.358|-0.528
6490|4.900|1.411|-1.055
6500|4.663|1.015|0.000
6510|4.897|1.368|0.005
6520|4.988|1.368|-2.653
6530|4.974|1.231|-0.987
6540|4.949|1.211|0.000
6550|4.902|1.211|-1.133
6560|4.949|1.284|0.039
6570|4.590|1.330|-1.109
6580|4.949|1.172|-0.518
6590|4.897|1.103|-1.133
6600|4.842|1.232|-1.422
6610|4.988|1.215|-0.518
6620|4.896|1.112|-0.528
6630|4.974|1.328|0.083
6640|4.999|1.212|-1.490
6650|4.949|1.328|-0.987
6660|4.585|1.328|-0.992
6670|4.960|1.176|0.083
6680|4.949|1.212|0.083
6690|4.950|1.093|0.044
6700|4.805|1.358|0.156
6710|4.974|1.211|0.039
6720|4.687|1.176|0.005
6730|4.949|1.410|4.998
6740|4.951|1.093|8.290
6750|4.687|1.215|6.771
6760|4.974|1.217|8.134
6770|4.685|0.956|6.668
6780|4.974|1.212|7.684
6790|4.896|1.319|7.553
6800|4.900|0.858|8.153
6810|4.949|1.328|6.873
6820|4.998|1.212|7.709
6830|4.685|1.093|5.838
6840|4.976|1.074|6.668
6850|4.974|1.181|8.324
6860|4.949|1.488|7.553
6870|4.607|1.328|7.709
6880|4.900|1.093|8.334
6890|4.687|1.093|6.668
6900|4.896|1.092|6.668
6910|4.919|1.170|8.285
6920|4.805|1.211|8.290
6930|4.949|1.093|8.334
6940|4.974|1.211|7.709
6950|4.609|1.212|7.528
6960|4.974|1.215|7.421
6970|4.950|1.093|8.334
6980|4.949|1.176|7.084
6990|4.949|1.093|7.709
7000|4.897|1.220|6.668
7010|4.988|1.015|7.709
7020|4.792|1.172|6.668
7030|4.974|1.309|4.998
7040|4.949|1.328|4.958
7050|4.900|1.093|6.668
7060|4.998|1.181|7.606
7070|4.609|1.328|7.553
7080|4.949|1.232|4.949
7090|4.897|1.093|6.668
7100|4.687|1.250|4.988
7110|4.792|1.328|5.838
7120|4.799|1.092|8.334
7130|4.988|1.250|6.668
7140|4.792|1.215|7.606
7150|4.805|1.269|8.324
7160|4.949|1.215|6.869
7170|4.687|1.328|4.998
7180|4.363|1.034|7.084
7190|4.974|1.093|8.153
7200|4.951|1.368|7.513
7210|4.902|1.415|8.334
7220|4.668|1.111|6.981
7230|4.795|1.328|6.693
7240|4.795|1.328|6.668
7250|4.685|1.215|8.334
7260|4.988|1.407|6.668
7270|4.897|1.092|4.958
7280|4.590|1.232|0.083
7290|4.803|1.181|0.039
7300|4.902|1.162|-1.026
7310|4.834|0.995|-0.997
7320|4.686|1.328|-1.422
7330|4.897|1.410|-0.440
7340|4.832|1.212|0.000
7350|4.949|1.176|-1.065
7360|4.585|1.212|-2.496
7370|4.902|1.015|0.000
7380|4.681|1.212|-0.528
7390|4.792|1.234|0.083
7400|4.842|1.328|0.020
7410|4.897|1.112|-1.153
7420|4.951|1.181|-0.997
7430|4.949|1.054|-0.528
7440|4.792|1.212|-0.997
7450|4.687|1.215|-0.440
7460|4.795|1.319|-0.997
7470|4.902|1.328|0.083
7480|4.584|1.231|-1.148
7490|4.584|1.176|-0.528
7500|4.949|1.181|-1.153
7510|4.795|1.015|0.039
7520|4.900|1.093|-0.528
7530|4.974|1.181|0.000
7540|4.976|1.220|0.000
7550|4.974|1.215|-0.528
7560|4.949|1.093|-0.997
7570|4.988|1.212|0.083
7580|4.805|1.328|-0.518
7590|4.609|1.328|0.093
7600|4.951|1.368|-0.440
7610|4.949|1.570|-0.518
7620|4.950|1.211|-0.528
7630|4.584|1.328|0.039
7640|4.792|1.176|-1.153
7650|4.838|1.328|0.020
7660|4.609|1.328|-0.606
7670|4.792|1.176|-1.055
7680|4.795|1.211|0.005
7690|4.687|1.212|-0.508
7700|4.687|1.015|-0.997
7710|4.949|1.162|0.078
7720|4.950|1.212|0.156
7730|4.988|1.348|0.005
7740|4.687|1.328|-1.065
7750|4.818|1.093|-1.133
7760|4.590|1.328|0.039
7770|4.687|1.231|0.010
7780|4.792|1.212|-0.454
7790|4.974|1.089|-1.334
7800|4.803|1.215|0.005
7810|4.988|1.211|0.039
7820|4.949|1.368|0.039
7830|4.974|1.176|0.039
7840|4.896|1.348|8.290
7850|4.950|1.411|7.665
7860|4.792|1.089|4.949
7870|4.795|1.215|6.849
7880|4.589|1.054|6.668
7890|4.609|1.408|7.709
7900|4.803|1.176|7.919
7910|4.949|1.328|6.693
7920|4.949|1.093|7.709
7930|4.805|1.368|5.857
7940|4.895|1.212|7.084
7950|4.900|1.181|8.153
7960|4.842|1.189|8.285
7970|4.900|1.409|4.949
7980|4.897|1.328|4.998
7990|4.838|1.250|6.771
8000|4.902|1.234|7.699
8010|4.609|1.232|7.709
8020|4.897|0.956|7.709
8030|4.949|1.211|4.998
8040|4.951|1.328|7.919
8050|4.799|1.181|6.668
8060|4.792|1.212|6.668
8070|4.897|1.328|8.334
8080|4.976|1.328|4.841
8090|4.842|1.289|7.084
8100|4.609|1.330|4.988
8110|4.590|1.015|8.178
8120|4.950|1.328|7.084
8130|4.902|0.976|7.919
8140|4.687|1.176|7.709
8150|4.949|1.319|6.668
8160|4.988|1.215|4.998
8170|4.687|1.250|4.831
8180|4.792|1.054|6.668
8190|4.950|1.176|7.059
8200|4.792|1.232|6.712
8210|4.897|1.215|8.324
8220|4.897|1.090|7.841
8230|4.897|1.289|4.998
8240|4.803|1.330|7.543
8250|4.897|0.937|8.334
8260|4.687|1.486|8.334
8270|4.687|1.328|7.084
8280|4.687|1.250|7.553
8290|4.949|1.407|4.998
8300|4.900|1.231|4.998
8310|4.998|1.241|4.998
8320|4.805|1.054|7.084
8330|4.949|1.368|4.841
8340|4.949|1.176|6.673
8350|4.792|1.242|7.059
8360|4.687|1.328|4.958
8370|4.949|1.176|4.998
8380|4.902|1.176|7.079
8390|4.949|1.368|6.693
8400|4.949|1.212|-1.060
8410|4.949|1.330|0.000
8420|4.685|1.173|-0.977
8430|4.792|1.173|-0.537
8440|4.949|1.211|-1.055
8450|4.951|1.220|-0.381
8460|4.609|1.176|-0.977
8470|4.980|1.015|0.078
8480|4.988|1.241|-1.431
8490|4.919|1.055|-1.734
8500|4.687|1.212|0.005
8510|4.976|1.327|-0.440
8520|4.988|1.328|-0.449
8530|4.896|1.015|-0.440
8540|4.609|1.387|-1.153
8550|4.805|1.387|-0.508
8560|4.685|1.176|0.083
8570|4.609|1.212|0.122
8580|4.949|1.181|0.000
8590|4.590|1.410|0.005
8600|4.685|1.084|-1.153
8610|4.687|1.112|-1.148
8620|4.974|1.252|-0.997
8630|4.609|1.409|0.156
8640|4.910|1.409|-0.997
8650|4.838|1.220|0.000
8660|4.902|1.234|-1.431
8670|4.990|1.252|-0.440
8680|4.687|1.289|0.044
8690|4.685|1.176|-1.339
8700|4.838|1.414|-1.065
8710|4.871|1.232|-0.518
8720|4.668|1.176|-0.537
8730|4.974|1.328|-0.440
8740|4.609|1.289|-1.065
8750|4.951|1.092|0.039
8760|4.838|1.250|-0.518
8770|4.792|1.328|-0.440
8780|4.919|1.015|-0.352
8790|4.687|1.319|0.332
8800|4.950|1.092|-0.518
8810|4.805|1.015|-0.508
8820|4.609|1.212|0.000
8830|4.687|1.181|0.010
8840|4.590|1.093|-1.412
8850|4.902|1.524|-0.992
8860|4.896|1.232|-0.528
8870|4.685|1.220|0.083
8880|4.590|1.017|-0.381
8890|4.949|1.093|-0.528
8900|4.842|1.289|-0.518
8910|4.686|1.328|-0.440
8920|4.988|1.328|0.088
8930|4.687|1.328|-0.440
8940|4.949|1.215|0.000
8950|4.897|1.328|-0.440
8960|4.974|1.250|6.668
8970|4.803|1.220|6.668
8980|4.988|1.093|8.232
8990|4.951|1.328|4.998
9000|4.900|1.309|8.334
9010|4.590|1.410|7.709
9020|4.838|1.015|7.709
9030|4.687|1.215|8.134
9040|4.976|1.232|5.857
9050|4.910|1.181|6.707
9060|4.687|1.215|5.926
9070|4.805|1.176|6.693
9080|4.584|1.407|7.118
9090|4.949|1.215|7.098
9100|4.949|1.232|8.153
9110|4.897|1.328|7.709
9120|4.805|1.328|7.240
9130|4.897|1.368|8.153
9140|4.897|1.289|8.334
9150|4.949|1.326|7.274
9160|4.838|1.328|7.587
9170|4.902|1.179|4.998
9180|4.687|1.170|7.919
9190|4.838|1.348|8.285
