TS|CH0|CH1|CH2
10|4.590|1.215|6.668
20|4.900|1.215|8.334
30|4.792|1.232|6.668
40|4.976|1.328|6.668
50|4.950|1.054|8.334
60|4.949|1.328|4.998
70|4.990|1.254|6.668
80|4.609|1.250|8.334
90|4.988|0.976|7.709
100|4.792|1.176|7.709
110|4.950|1.328|7.084
120|4.609|1.172|4.958
130|4.897|1.232|7.919
140|4.805|1.215|7.919
150|4.988|1.328|6.673
160|4.949|1.328|8.285
170|4.951|1.309|8.324
180|4.976|1.024|7.709
190|4.951|1.131|4.998
200|4.805|1.232|7.709
210|4.897|1.122|4.958
220|4.951|1.024|8.324
230|4.842|1.093|7.709
240|4.685|1.327|8.334
250|4.974|1.093|7.709
260|4.795|1.179|7.088
270|4.896|1.414|6.849
280|4.949|1.328|7.606
290|4.896|1.328|7.084
300|4.950|1.093|8.139
310|4.795|1.287|8.324
320|4.687|1.215|8.153
330|4.949|1.289|7.606
340|4.949|1.328|4.998
350|4.792|1.093|4.988
360|4.896|1.173|6.712
370|4.919|1.212|6.771
380|4.584|1.181|6.678
390|4.974|1.348|5.857
400|4.795|1.181|8.334
410|4.687|1.408|4.973
420|4.900|1.258|6.771
430|4.687|1.217|4.919
440|4.980|1.015|4.949
450|4.896|1.330|6.668
460|4.805|1.176|5.833
470|4.590|1.231|4.998
480|4.584|1.093|6.668
490|4.662|1.132|7.294
500|4.949|0.937|4.841
510|4.805|1.093|4.998
520|4.950|1.179|6.668
530|4.844|1.328|7.084
540|4.590|1.231|7.919
550|4.687|1.328|7.919
560|4.951|1.015|4.958
570|4.976|1.176|-0.440
580|4.792|1.328|0.010
590|4.949|1.368|-1.065
600|4.897|1.015|0.010
610|4.949|1.176|-0.528
620|4.949|1.408|0.078
630|4.792|1.250|0.078
640|4.897|1.328|0.044
650|4.896|1.231|-2.653
660|4.805|1.212|-0.977
670|4.687|1.368|-0.997
680|4.795|1.093|-0.997
690|4.687|1.328|0.010
700|4.687|0.937|0.156
710|4.974|0.937|-0.528
720|4.960|1.215|-0.977
730|4.838|1.368|-0.352
740|4.900|1.054|-1.734
750|4.375|1.181|0.020
760|4.949|1.089|0.000
770|4.687|1.309|-0.528
780|4.792|1.215|-0.528
790|4.687|1.181|-0.997
800|4.609|1.181|-0.440
810|4.897|1.215|0.005
820|4.976|1.181|0.020
830|4.792|1.093|0.088
840|4.662|1.409|-0.977
850|4.994|1.093|-1.148
860|4.897|1.328|-0.528
870|4.950|1.015|0.005
880|4.683|1.309|-0.997
890|4.951|1.093|0.039
900|4.988|1.173|0.078
910|4.792|1.231|-1.734
920|4.896|1.220|-0.528
930|4.792|1.211|-1.412
940|4.896|1.093|0.039
950|4.949|1.015|0.083
960|4.585|1.054|-1.412
970|4.949|1.328|0.000
980|4.988|1.221|0.078
990|4.974|1.215|0.078
1000|4.919|1.176|-0.977
1010|4.662|1.212|0.005
1020|4.960|1.093|-0.518
1030|4.949|1.211|-1.119
1040|4.988|1.211|0.332
1050|4.974|1.092|-0.992
1060|4.609|0.946|0.039
1070|4.949|1.089|-0.752
1080|4.988|1.328|-0.997
1090|4.590|1.215|0.039
1100|4.974|1.211|-0.997
1110|5.000|1.215|-1.158
1120|4.792|1.232|0.044
1130|4.902|1.348|7.709
1140|4.951|1.154|7.303
1150|4.988|1.173|7.704
1160|4.792|1.250|8.324
1170|4.974|1.328|8.290
1180|4.805|1.093|8.285
1190|4.976|1.220|7.137
1200|4.897|1.054|6.673
1210|4.842|1.319|6.668
1220|4.902|1.175|8.290
1230|4.949|1.093|8.178
1240|4.974|1.250|8.285
1250|4.988|1.181|7.513
1260|4.792|1.328|7.816
1270|4.949|1.407|6.668
1280|4.950|1.328|7.084
1290|4.974|1.289|6.673
1300|4.687|1.092|7.528
1310|4.919|1.409|7.919
1320|4.976|0.976|6.771
1330|4.687|0.976|6.668
1340|4.949|1.181|7.572
1350|4.949|1.328|6.771
1360|4.590|1.328|6.825
1370|4.949|1.179|6.668
1380|4.974|1.215|7.601
1390|4.976|1.015|8.334
1400|4.950|1.215|7.215
1410|4.951|1.408|6.668
1420|4.590|1.368|8.324
1430|4.998|1.328|6.673
1440|4.792|1.176|7.084
1450|4.902|1.092|4.998
1460|4.950|1.409|6.825
1470|4.585|0.937|8.232
1480|4.795|1.215|7.528
1490|4.842|1.215|7.919
1500|4.687|1.254|4.998
1510|4.792|1.231|7.513
1520|4.687|0.937|4.998
1530|4.951|1.093|7.294
1540|4.896|1.093|4.998
1550|4.803|1.015|8.134
1560|4.584|1.093|8.334
1570|4.949|1.015|6.668
1580|4.900|1.328|6.771
1590|4.609|1.259|7.137
1600|4.902|1.215|7.528
1610|4.950|1.259|7.294
1620|4.949|1.328|4.998
1630|4.844|1.215|7.294
1640|4.844|1.368|8.153
1650|4.949|1.092|4.998
1660|4.978|1.092|7.553
1670|4.609|1.181|4.998
1680|4.897|1.309|7.699
1690|4.795|1.215|-0.977
1700|4.687|1.220|0.039
1710|4.988|1.015|-1.422
1720|4.604|1.330|0.083
1730|4.902|1.328|-0.987
1740|4.976|1.410|-0.865
1750|4.792|1.408|0.005
1760|4.949|1.211|-0.596
1770|4.607|1.368|-0.415
1780|4.897|1.093|-0.518
1790|4.805|1.309|-0.440
1800|4.988|1.328|-1.060
1810|4.838|1.408|-1.910
1820|4.988|1.093|0.078
1830|4.949|1.176|0.083
1840|4.668|1.211|-0.518
1850|4.919|1.254|-1.065
1860|4.805|0.995|0.005
1870|4.976|1.220|-0.518
1880|4.585|1.172|0.020
1890|4.974|1.093|-0.997
1900|4.902|1.328|-0.435
1910|4.590|1.212|0.010
1920|4.978|1.215|-0.997
1930|4.949|1.176|-0.440
1940|4.687|1.212|-1.431
1950|4.841|1.414|-0.977
1960|4.896|1.015|0.039
1970|4.949|1.215|-0.528
1980|4.844|1.215|0.000
1990|4.609|1.231|-0.440
2000|4.988|1.219|-1.065
2010|4.897|1.328|-1.431
2020|4.609|1.237|0.166
2030|4.902|1.212|-0.596
2040|4.897|1.211|-0.997
2050|4.974|1.319|-0.997
2060|4.585|1.093|-0.435
2070|4.988|1.215|0.005
2080|4.609|1.211|0.044
2090|4.896|1.328|0.088
2100|4.604|1.231|-2.506
2110|4.805|1.176|0.005
2120|4.687|1.173|0.645
2130|4.792|1.319|-0.518
2140|4.949|1.015|0.020
2150|4.897|1.242|-0.440
2160|4.803|1.250|-0.528
2170|4.897|1.181|-0.435
2180|4.687|1.212|-0.440
2190|4.590|1.212|-0.987
2200|4.792|1.215|-0.596
2210|4.805|1.288|0.005
2220|4.976|1.015|-1.055
2230|4.998|1.212|0.044
2240|4.949|1.231|0.005
2250|4.838|1.015|6.668
2260|4.795|1.093|4.841
2270|4.609|1.173|4.998
2280|4.687|1.408|8.153
2290|4.842|1.015|7.919
2300|4.988|1.089|8.285
2310|4.902|1.328|6.668
2320|4.842|1.414|4.988
2330|4.896|1.215|4.998
2340|4.974|1.181|7.294
2350|4.590|1.093|7.084
2360|4.951|1.211|6.717
2370|4.844|1.368|8.324
2380|4.844|1.328|4.841
2390|4.687|1.250|7.709
2400|4.919|1.092|6.717
2410|4.792|1.015|8.285
2420|4.609|1.309|7.553
2430|4.902|1.328|8.334
2440|4.838|1.176|7.079
2450|4.947|1.176|8.324
2460|4.805|1.015|8.134
2470|4.792|1.408|6.668
2480|4.668|1.211|6.717
2490|4.584|1.309|4.958
2500|4.687|1.092|6.668
2510|4.792|1.211|4.841
2520|4.900|1.319|6.668
2530|4.805|1.309|7.084
2540|4.897|1.211|4.900
2550|4.988|1.179|8.334
2560|4.976|1.319|6.849
2570|4.590|1.358|6.869
2580|4.803|1.328|7.709
2590|4.897|1.289|7.553
2600|4.609|1.092|6.668
2610|4.795|1.181|7.709
2620|4.609|1.093|6.781
2630|4.974|1.387|7.606
2640|4.900|1.173|4.998
2650|4.687|1.187|8.129
2660|4.687|1.055|6.668
2670|4.988|1.319|8.324
2680|4.662|1.212|7.709
2690|4.974|1.368|4.949
2700|4.974|1.414|6.668
2710|4.838|1.410|4.998
2720|4.897|1.250|7.294
2730|4.585|1.215|7.763
2740|4.795|1.414|6.673
2750|4.950|1.234|6.981
2760|4.949|1.015|7.606
2770|4.609|1.015|7.059
2780|4.805|1.368|4.998
2790|4.842|1.212|8.134
2800|4.687|1.259|7.709
2810|4.988|1.054|0.078
2820|4.805|1.330|0.000
2830|4.584|1.212|-0.440
2840|4.842|1.232|-0.528
2850|4.838|1.328|-1.153
2860|4.896|1.328|0.020
2870|4.897|1.093|0.122
2880|4.687|1.015|-0.616
2890|4.949|1.211|-0.997
2900|4.687|1.409|-0.454
2910|4.949|1.093|-1.153
2920|4.687|1.181|-0.997
2930|4.897|1.328|-0.528
2940|4.897|1.093|0.010
2950|4.988|1.387|-1.153
2960|4.668|1.485|-0.977
2970|4.949|1.212|-0.596
2980|4.988|1.175|-1.055
2990|4.585|1.015|0.088
3000|4.980|1.232|-1.065
3010|4.585|1.093|0.000
3020|4.609|0.819|-0.977
3030|4.976|1.328|-1.148
3040|4.844|1.176|0.713
3050|4.949|1.328|-1.466
3060|4.974|1.212|-0.528
3070|4.949|1.176|0.005
3080|4.951|1.331|-0.528
3090|4.897|1.232|0.083
3100|4.949|1.328|-0.992
3110|4.584|1.328|-1.119
3120|4.795|0.941|-1.065
3130|4.949|1.054|-0.528
3140|4.609|1.231|0.083
3150|4.902|1.239|-1.055
3160|4.685|1.408|-1.744
3170|4.687|1.330|-1.065
3180|4.951|1.093|0.083
3190|4.609|1.093|-0.596
3200|4.609|1.411|-0.977
3210|4.685|1.328|0.166
3220|4.675|1.486|-2.506
3230|4.805|1.387|-1.133
3240|4.687|1.054|-1.075
3250|4.687|1.319|0.078
3260|4.685|1.015|-0.596
3270|4.803|1.173|0.156
3280|4.838|1.368|-1.055
3290|4.900|1.215|-0.518
3300|4.842|1.093|-1.075
3310|4.842|1.328|0.000
3320|4.795|1.215|-1.065
3330|4.897|1.299|0.078
3340|4.685|1.054|0.000
3350|4.949|1.215|-0.596
3360|4.687|1.411|0.635
3370|4.902|1.034|4.802
3380|4.896|1.054|7.699
3390|4.687|1.179|7.294
3400|4.950|1.189|6.668
3410|4.896|1.215|4.998
3420|4.949|0.976|8.295
3430|4.949|0.976|7.513
3440|4.792|1.289|4.998
3450|4.900|1.173|8.334
3460|4.792|1.336|6.717
3470|4.897|1.093|7.680
3480|4.842|1.328|4.998
3490|4.792|1.328|7.528
3500|4.950|1.411|8.285
3510|4.584|1.328|8.324
3520|4.974|1.328|6.668
3530|4.976|1.093|8.285
3540|4.949|1.328|6.668
3550|4.842|1.348|4.998
3560|4.842|1.212|4.949
3570|4.668|1.219|7.816
3580|4.949|1.215|7.709
3590|4.949|1.232|8.153
3600|4.678|1.328|8.310
3610|4.805|1.289|4.998
3620|4.805|1.328|7.088
3630|4.685|1.212|7.215
3640|4.949|1.015|4.998
3650|4.976|1.368|4.998
3660|4.988|1.093|7.606
3670|4.902|1.015|7.606
3680|4.805|1.212|7.509
3690|4.897|1.368|7.088
3700|4.950|1.254|6.873
3710|4.792|1.092|7.513
3720|4.951|1.387|8.324
3730|4.949|1.181|7.528
3740|4.687|1.092|4.998
3750|4.795|1.328|7.919
3760|4.609|1.309|7.606
3770|4.974|1.368|6.981
3780|4.792|1.181|7.513
3790|4.988|1.054|7.509
3800|4.687|1.054|6.668
3810|4.834|1.328|6.673
3820|4.795|1.328|8.290
3830|4.950|1.328|8.334
3840|4.805|1.309|7.088
3850|4.902|1.215|7.084
3860|4.900|0.937|8.334
3870|4.902|1.215|6.693
3880|4.989|1.212|7.528
3890|4.976|1.231|8.324
3900|4.685|1.181|4.998
3910|4.590|1.093|4.998
3920|4.902|1.181|4.998
3930|4.900|1.093|-0.435
3940|4.949|1.093|-1.148
3950|4.609|1.179|-0.992
