TS|CH0|CH1|CH2
2100|3.867|0.000|-2.428
2110|3.902|0.000|-2.418
2120|3.895|0.000|-2.301
2130|3.871|0.000|-2.257
2140|3.897|0.000|-2.198
2150|3.883|0.000|-2.115
2160|3.873|0.000|-2.101
2170|3.877|0.000|-1.993
2180|3.897|0.000|-1.983
2190|3.867|0.000|-1.925
2200|3.906|0.000|-1.930
2210|3.905|0.000|-1.827
2220|3.877|0.000|-1.793
2230|3.867|0.000|-1.710
2240|3.886|0.000|-1.729
2250|3.893|0.000|-1.597
2260|3.867|0.000|-1.607
2270|3.886|0.000|-1.514
2280|3.882|0.000|-1.519
2290|3.864|0.000|-1.446
2300|3.877|0.000|-1.402
2310|3.900|0.000|-1.319
2320|3.867|0.000|-1.241
2330|3.902|0.000|-1.172
2340|3.905|0.000|-1.187
2350|3.867|0.000|-1.163
2360|3.877|0.000|-1.089
2370|3.877|0.000|-0.938
2380|3.897|0.000|-1.045
2390|3.889|0.000|-0.967
2400|3.906|0.000|-0.972
2410|3.867|0.000|-0.914
2420|3.867|0.000|-0.816
2430|3.867|0.000|-0.796
2440|3.877|0.000|-0.664
2450|3.907|0.000|-0.660
2460|3.885|0.000|-0.620
2470|3.906|0.000|-0.518
2480|3.889|0.000|-0.523
2490|3.905|0.000|-0.484
2500|3.877|0.000|-0.381
2510|3.882|0.000|-0.366
2520|3.897|0.000|-0.308
2530|3.906|0.000|-0.308
2540|3.886|0.000|-0.151
2550|3.906|0.000|-0.147
2560|3.888|0.000|-0.073
2570|3.877|0.000|-0.073
2580|3.886|0.000|0.020
2590|3.901|0.000|0.000
2600|3.902|0.000|0.073
2610|3.902|0.000|0.161
2620|3.896|0.000|0.191
2630|3.902|0.000|0.274
2640|3.882|0.000|0.322
2650|3.877|0.000|0.337
2660|3.906|0.000|0.371
2670|3.902|0.000|0.489
2680|3.872|0.000|0.625
2690|3.877|0.000|0.586
2700|3.877|0.000|0.660
2710|3.882|0.000|0.625
2720|3.883|0.000|0.703
2730|3.901|0.000|0.782
